"","RR3_BRN_GC_G7","RR3_BRN_GC_G8","RR3_BRN_GC_G9","RR3_BRN_FLT_F1","RR3_BRN_FLT_F2","RR3_BRN_FLT_F7"
"ENSMUSG00000033326",1472.31301469097,1641.27576638575,1491.02275765594,1634.17432925377,1589.00654460221,1376.65544123793
"ENSMUSG00000033327",118.934287408999,165.453292043094,155.450906777276,198.174118168313,190.04191142893,147.97352926095
"ENSMUSG00000033335",1433.84955267506,1297.06220426691,1544.31752292973,1412.31242412351,1290.6859272014,1280.64105381051
"ENSMUSG00000033342",2017.29099816844,2789.3784714769,1911.79354312401,2042.73226273702,1789.50295861249,2176.83889019033
"ENSMUSG00000033350",5940.19140390688,4794.57431599309,6725.61121011334,5894.6935476276,6109.52880517025,5476.5455247358
"ENSMUSG00000033352",6197.40587983479,6584.94207185776,7547.75591219546,6802.74377812666,6729.93794559512,6417.1134292651
"ENSMUSG00000033355",72.9522601563681,133.006733653546,94.1619433094013,52.5790857487465,59.1366088724836,66.5069464848344
"ENSMUSG00000033356",77.8419153304508,85.2522892995609,131.393647610385,90.7610035110638,90.3679908468073,82.086011161706
"ENSMUSG00000033361",1351.87325016403,1346.33193371497,1476.64176449581,1285.9559092938,1708.91897665417,1151.89129938441
"ENSMUSG00000033364",1519.76026029434,1529.87240034544,1545.84839880996,1475.67093189262,1780.80050522186,1417.0189373868
"ENSMUSG00000033365",1780.88435257563,1638.75761997574,1706.46583677223,1760.05035049435,2191.65785124386,1778.93088098609
"ENSMUSG00000033373",607.828372806953,758.987614562275,596.187348019145,726.89076415507,594.702021012196,623.139139303161
"ENSMUSG00000033377",1411.98957023204,1250.60844508198,1232.86884540914,1217.8549112012,1120.82653658815,1254.38233799055
"ENSMUSG00000033379",5520.05488754674,6046.26449564874,4103.31050604467,4600.34770937636,6797.76535473569,6857.55066828172
"ENSMUSG00000033382",2662.44131867781,2259.89789396939,2243.79569274092,2015.42109437852,2175.58825005741,2518.2322961226
"ENSMUSG00000033383",0.965863404298601,12.220640389337,10.9415732402588,11.3831039923558,6.32117146564268,6.09373412044591
"ENSMUSG00000033386",45.9073934249742,15.2847818447594,79.0786648574014,44.6258171465951,32.5689791182864,29.8276938185743
"ENSMUSG00000033389",4504.50760496846,4815.75079565204,4644.78558882119,5235.35032361922,5493.39467611233,4697.97873624283
"ENSMUSG00000033392",11072.9128986027,11369.0105948489,10137.4011322778,10712.9831765811,11797.0688757725,11359.8529675472
"ENSMUSG00000033396",976.222213380465,878.860116974144,769.434251712559,914.471690848362,810.047174332581,830.962136579133
"ENSMUSG00000033400",2200.5896327912,2276.12709271427,2362.9167948098,2165.03441349434,2443.22859898493,2186.46418340993
"ENSMUSG00000033405",287.286299420115,221.22826491981,192.941840479018,195.619199588846,214.686517094632,242.045290478053
"ENSMUSG00000033411",1404.57476932022,1753.81521929921,1636.51687593226,1432.46166173229,1386.0301896245,1664.38648838697
"ENSMUSG00000033416",376.864039895071,257.220486738644,225.408421509577,316.186829824785,300.774491285455,261.775893873997
"ENSMUSG00000033417",1227.94722434532,1115.14609227739,1320.93857622449,1292.02396432764,1064.9382245975,1481.58500861554
"ENSMUSG00000033419",10103.0724398254,11211.4916007283,10553.920916978,11864.5518752915,11411.1319201791,10893.2488333917
"ENSMUSG00000033420",596.785975703919,643.296023206003,705.39940606696,602.317878699326,418.273813802377,590.444287272905
"ENSMUSG00000033423",3114.4692631599,3159.13745284125,2651.54776623437,3481.83936657601,3298.42699975014,3336.18056957132
"ENSMUSG00000033427",0,12.85762503235,4.45362917011479,1.54431971535043,6.28968987918186,1.51573261569518
"ENSMUSG00000033429",515.085342542121,576.798641089688,475.043558540307,479.17936562783,421.917071494724,704.394785893068
"ENSMUSG00000033430",1487.14344903738,1568.43645907075,1867.1938570112,1720.40841742012,1653.98734279167,1589.17308364951
"ENSMUSG00000033434",174.186291015055,321.497255161007,245.638260043293,289.484904444282,390.272262052888,243.975293000143
"ENSMUSG00000033436",4422.9748672577,5110.99101712947,4489.6644515162,4778.45871353358,4569.84412587406,4507.87406061975
"ENSMUSG00000033439",167.446566603091,163.985092079378,190.976847297168,131.849999059861,231.477795402333,142.27590379696
"ENSMUSG00000033444",2800.8760561688,2725.81997327103,3161.583380888,2700.97395482371,2888.20834555456,2675.3722595607
"ENSMUSG00000033446",106.298165739975,117.477783669095,59.6585039155813,87.0085352307223,81.0396853929289,113.77019577861
"ENSMUSG00000033450",141.979428013317,129.727895773354,163.131095625867,159.358123064284,233.891643133402,164.529780834564
"ENSMUSG00000033453",243.489885724965,322.817996867613,167.930684690241,269.981928907707,164.408908552007,229.055211070364
"ENSMUSG00000033454",1066.26439469576,824.08079793068,1078.52792246439,1003.35874624463,961.252336080067,1015.93670864933
"ENSMUSG00000033458",250.874614535398,298.135035962146,292.014136464412,241.997868527854,264.077722451858,277.960143037198
"ENSMUSG00000033460",1657.52130371411,1849.8805662427,1804.01255537466,1626.49706661621,1745.71181641261,1730.85539443451
"ENSMUSG00000033467",75.6234692905413,33.6950681460772,75.8855031496682,74.4641352748749,69.6854156857629,71.706297434017
"ENSMUSG00000033470",29.6562943237524,33.5637628099684,45.5143170326437,21.5983916492175,22.1907010883893,33.7492042229031
"ENSMUSG00000033475",2033.18645984415,2432.67330021611,2949.88003499835,2744.12379633019,2499.72601653931,2364.88678764571
"ENSMUSG00000033478",1170.05837309836,1213.92759020577,1382.57271000359,1433.84767560075,1332.70224538446,1209.19418636063
"ENSMUSG00000033486",19.4911155546327,21.4417733754724,39.0503538344953,13.4714571199355,11.5076843687615,30.5026499707925
"ENSMUSG00000033487",3241.08265087537,3453.53502701567,3201.88478815446,2974.36112154915,2993.56956676001,3166.60210119394
"ENSMUSG00000033488",35.2553033473975,13.6361337724735,24.6422712261473,30.490826474573,16.6164637300492,31.9759336146254
"ENSMUSG00000033491",144.771489124702,190.277257923252,113.389190192887,203.92596171038,175.736978759176,170.654412241208
"ENSMUSG00000033498",2.66436931626795,6.93303835516311,0,5.14082149236543,10.7585596893189,3.36079253695872
"ENSMUSG00000033499",3216.82547882264,3255.48144736435,3231.10799347619,3265.510354861,3280.26283345743,3104.78099372198
"ENSMUSG00000033502",106.545174712222,211.970829549411,256.568984850397,182.927806538617,289.417702650118,164.969508590348
"ENSMUSG00000033508",12.5391875520022,11.2879596812341,28.8758324385443,21.6752696125592,16.902800347795,16.2419932447448
"ENSMUSG00000033510",1033.82725055541,1041.55385259561,1403.24416490546,1236.85970430788,1280.29175947196,1116.03633477538
"ENSMUSG00000033520",2.89617993380323,14.1040457311714,0,1.03386811454071,0,0
"ENSMUSG00000033526",3832.08473233353,3423.96850320392,4407.0606855879,4031.89810882136,3877.88968843357,3873.84093197389
"ENSMUSG00000033530",7569.31258192501,5894.57063030974,6663.42955320187,6852.39106986189,7910.81366003967,7052.03210644274
"ENSMUSG00000033538",1.81714932560563,22.586186751617,8.44483496373394,2.91615182236755,17.3662843323592,15.5976791503858
"ENSMUSG00000033540",213.171856399645,214.996769790316,170.732477760036,130.59652651144,326.036635140992,192.197402194602
"ENSMUSG00000033542",189.121568699362,150.651318779823,174.142861134988,159.643974414895,179.228703822419,253.103027579689
"ENSMUSG00000033543",501.603334327358,523.82418309471,319.612875594575,294.88124610854,441.295436241008,418.04755321732
"ENSMUSG00000033544",75.9937339005064,20.7970427307357,41.877230392817,24.8953173665296,17.2287266170039,75.2450546596855
"ENSMUSG00000033545",2771.35411698814,2741.60202907271,2947.79711717861,2461.18447303742,3280.6547046518,2680.41865536271
"ENSMUSG00000033554",465.257978602624,408.115148285317,469.610082519925,338.710354350038,400.573003147405,459.963556037722
"ENSMUSG00000033557",3429.05645833297,2886.09804653675,3475.26352159099,3343.77061378406,3396.32295979679,3352.26501942625
"ENSMUSG00000033565",7728.26806244571,8396.15746823368,8329.66769012909,8843.3770816746,8867.03848924342,7539.17404121609
"ENSMUSG00000033569",6037.20244270041,6832.23963064252,6028.5945186535,5629.1813123684,5856.63832625956,6012.73121016252
"ENSMUSG00000033576",10.9262520934845,1.32981793603906,0,0,8.26908280442966,4.98256590934004
"ENSMUSG00000033577",5349.81258406001,6085.12484813769,7379.67081874334,5958.85050334848,4691.59883128262,5263.0042600909
"ENSMUSG00000033578",963.152072726622,1467.98856287942,688.749259801886,736.695722840474,833.650150958523,970.651633976934
"ENSMUSG00000033579",363.325102109942,190.7672903809,390.374663160942,539.05886859873,229.088048255981,363.860831492511
"ENSMUSG00000033581",10.2038793964734,65.5984974211639,10.7988049553524,17.7094529357923,4.57472400250929,7.74583241946392
"ENSMUSG00000033585",4317.25563129692,9849.88262207018,4156.2062846138,5107.67117157682,4859.13300783774,5050.01641686478
"ENSMUSG00000033589",61.5104192138458,18.9325978982299,45.7525637144182,43.3992861964137,32.9641946276234,27.4806643345689
"ENSMUSG00000033590",26.9589707880243,26.8341410158333,33.2564701031362,127.977487971737,96.1122253141838,39.3126847404862
"ENSMUSG00000033594",869.171804733756,790.754933209086,928.107960038728,954.510837040929,874.719475262872,833.279454483091
"ENSMUSG00000033595",1694.82133448557,1010.73407691431,1649.28960788433,1598.14277708331,1406.27886174435,1508.44532196375
"ENSMUSG00000033596",1216.65337097459,1205.344023313,1135.71820875808,1010.319336018,1136.68257904953,1207.89850451279
"ENSMUSG00000033597",2908.00031741376,3553.0642990003,3177.91948685618,3325.85119897022,3429.31065659939,2670.4468043292
"ENSMUSG00000033610",1218.71638133984,1390.80479601125,1062.99793149655,1262.67418841129,1554.37645077846,1283.61269072789
"ENSMUSG00000033615",15773.6900516219,12870.7403651662,17231.1200087187,17695.9665972727,14916.325229438,14540.8814553067
"ENSMUSG00000033618",1066.5129103674,1258.54673994751,1438.78681315042,1270.06473945467,1190.85469918086,1220.93210061089
"ENSMUSG00000033623",2281.89932587797,2639.01430287652,2475.92748053676,2548.36989203614,2392.74662526195,2271.29386803533
"ENSMUSG00000033624",1286.0084642566,1185.49674489608,1268.09593235114,1289.59486729589,1383.38281510528,1297.18829359557
"ENSMUSG00000033628",1491.89763408687,1495.51588556666,1448.41424698174,1531.94248549894,1344.11541920978,1577.78393730925
"ENSMUSG00000033629",3202.20008258868,3297.05190018585,2877.052380373,3129.23043838586,2968.91970571026,3398.04185427824
"ENSMUSG00000033632",1076.13838377065,993.830898898182,940.923503179185,889.323664623349,779.600913498418,947.574823819572
"ENSMUSG00000033633",38.5773882626063,10.7510969850584,49.3457336614713,41.3811481750293,73.6752589084259,60.4835053391253
"ENSMUSG00000033644",11.5491749698021,2.76976382904574,13.5532868806429,6.10438007597057,15.5102136797775,5.23867640479745
"ENSMUSG00000033653",2302.6257259138,2183.0621546553,2801.78465558436,2802.57189834173,2299.27934730326,2259.63943006369
"ENSMUSG00000033658",911.973887973558,952.197721867996,1146.44484878424,1025.78977612106,926.067703819086,958.513764309384
"ENSMUSG00000033669",347.264699268831,343.447843310777,387.035564609928,355.41795833033,386.141938754765,377.847353993096
"ENSMUSG00000033671",3483.84442530711,3946.13839841272,4327.07283644298,3607.69728507106,4088.61304522182,3665.16552770339
"ENSMUSG00000033676",11881.4311931432,15081.8618576267,14512.2827406574,13515.5031483977,11283.6137859974,11337.5491980437
"ENSMUSG00000033684",598.608812430218,503.221218840635,439.63120827899,508.603763598634,420.677251620481,535.093034950284
"ENSMUSG00000033685",603.611061619916,553.378507078954,796.927474145682,874.333485411935,1339.61615060379,508.924078396269
"ENSMUSG00000033688",1.5299032532283,2.23637268592489,0,0,7.48125717145232,3.2192121107742
"ENSMUSG00000033697",1804.21361559145,1759.76245100486,2167.06745865855,1882.09849689083,2435.67157196887,1948.19380365726
"ENSMUSG00000033701",1396.10410207708,956.86207842689,1250.05387087529,1320.73152374746,1007.22908798999,1287.08161113429
"ENSMUSG00000033703",174.659046082431,336.873222555645,263.314546057809,264.12417538826,341.626740487791,274.027786992232
"ENSMUSG00000033705",476.491594320373,408.664522382394,374.020951206687,502.405047015949,383.558462864622,365.538450822692
"ENSMUSG00000033706",1387.21529749593,1420.99011320869,1400.87322228648,1563.28259821247,1285.71460935456,1287.46926096935
"ENSMUSG00000033707",301.703693318843,360.565383965595,238.751725941181,301.673986539036,307.981449970397,304.438124572002
"ENSMUSG00000033712",2486.92951237276,2864.32309978015,2304.32764012492,2818.30898288293,2427.54245903878,2556.60279021834
"ENSMUSG00000033713",1851.66251617136,1836.90023740432,2668.76733733285,2585.67744218485,1982.50153242252,2037.89864785391
"ENSMUSG00000033715",181.411292963635,133.922297573063,168.822113412933,117.413466704917,202.942981183152,163.416974177235
"ENSMUSG00000033717",194.78191636355,816.5439982971,230.418540757897,520.977364005439,137.447150929196,232.428666055019
"ENSMUSG00000033720",7735.10934443822,7778.61549412736,7124.00040920386,7665.06910580844,8331.19976578892,7695.06960832883
"ENSMUSG00000033721",547.146261431278,305.256500278551,401.852712372766,293.680534604008,302.358630196355,357.661146752943
"ENSMUSG00000033722",390.570446303749,119.448771979123,250.214646581947,219.985712153659,228.947791852552,216.943631442513
"ENSMUSG00000033726",206.95530473091,177.114983361381,232.07497593754,283.348238399593,343.140761475467,249.106230068518
"ENSMUSG00000033728",243.908850801177,332.079903383992,319.143188086112,314.398303461929,420.782651379864,329.199590008155
"ENSMUSG00000033730",6295.24976345153,3000.36609184783,4780.90906932454,5430.98792859375,4727.10126514793,6157.85767872699
"ENSMUSG00000033732",2738.34017731458,3113.53750507492,2874.43135598389,2791.44726046265,2518.28597293515,2946.24343962271
"ENSMUSG00000033735",310.632273276242,308.423658418727,248.689984004434,316.036497475215,259.870892622256,380.356877943462
"ENSMUSG00000033739",281.163973513871,295.193188589057,192.09806883675,271.600377223619,172.057977037973,382.382796391916
"ENSMUSG00000033740",121.25175084472,203.305389669484,313.317733309948,109.17226915942,103.642161573065,175.103929075071
"ENSMUSG00000033751",585.129440732715,622.406777690721,540.245268597141,577.088333038833,514.448420202482,552.436030704711
"ENSMUSG00000033752",24.0510193472553,31.080578003481,7.98153399194117,13.3517778252583,18.0542968719059,17.2407642028917
"ENSMUSG00000033760",393.882572927643,556.005360867318,442.128606132385,351.833390343115,411.105406189352,510.245679397667
"ENSMUSG00000033762",11.6512191717799,7.55718971899252,19.6882209596703,21.8502468620189,29.632172083653,17.0989510634118
"ENSMUSG00000033763",9551.07263300845,12248.5159150128,11963.4353226082,12640.2810667278,11160.633377831,8854.96969852243
"ENSMUSG00000033767",394.116533457245,395.986369165983,438.654973420006,402.134151304354,616.88617678911,412.804249653456
"ENSMUSG00000033768",6515.9700567097,6481.38341118542,6572.10247510859,8314.85293295067,7707.59356655601,6145.05368042955
"ENSMUSG00000033769",4070.9706612832,3629.21045877858,4594.49208502867,4086.80772685312,4193.53563015506,3543.1934134872
"ENSMUSG00000033773",508.761337433996,613.05496673262,614.627802310694,467.131441287632,602.086975107126,583.320545390664
"ENSMUSG00000033774",16.422758017501,14.0994635291648,24.8636517143296,11.3871755724931,7.37190478163392,5.0784547690538
