"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"712","Bach2",1.69264464703646e-29,-9.01106427247006,0.338,0.269,5.44523782951628e-25
"719","Fus",3.73805455691399e-28,-0.798417006254891,0.457,0.391,1.20253215095923e-23
"724","Npepps",1.51135494997008e-27,-6.40961583540631,0.458,0.389,4.86202887405375e-23
"726","App",2.57922276745149e-27,-14.9921243809225,0.581,0.535,8.29735964289144e-23
"728","Wnk1",5.25781480995758e-27,-5.18585341751033,0.442,0.366,1.69143902436335e-22
"733","Hivep2",1.03328380369893e-26,-8.66253828670416,0.624,0.593,3.32407399649945e-22
"735","Pan3",2.84957363594769e-26,-1.14450622604225,0.543,0.602,9.16707838684373e-22
"737","Atad2b",5.37113488607153e-26,-1.76799420454042,0.362,0.291,1.72789409284921e-21
"740","Nova1",1.415794221099e-25,-5.03398225426134,0.35,0.29,4.5546100092755e-21
"743","Prr16",5.85933929507385e-25,-14.8647346342859,0.324,0.268,1.88494945122526e-20
"744","Stk39",9.69270852748029e-25,-1.0976149195598,0.339,0.281,3.11814433329041e-20
"754","Slmap",1.62168887040266e-23,-1.86642434232928,0.327,0.266,5.21697309608537e-19
"770","Zeb1",1.33751669913198e-20,-10.7564829101867,0.408,0.35,4.30279122110759e-16
"772","Tut4",2.0022461567458e-20,-0.626836056491099,0.51,0.454,6.44122588625124e-16
"790","Pip5k1b",4.76286646283676e-18,-2.75789635807478,0.306,0.367,1.53221414109459e-13
"792","Aplp2",8.58032058096271e-18,-0.754502010869621,0.317,0.37,2.7602891308957e-13
"795","Ryr2",2.30502081172031e-17,-0.606235589894268,0.642,0.642,7.41525195130423e-13
"796","Phip",2.36690365863981e-17,-1.24554803630376,0.471,0.419,7.61432906984426e-13
"798","Glg1",1.05243441347189e-16,-8.7052556955545,0.337,0.284,3.38568150813908e-12
"801","Rtn1",1.71597244642278e-16,-1.23694727317492,0.53,0.604,5.52028336014207e-12
"809","Nhsl2",1.31432153010834e-15,-6.40094614735606,0.283,0.332,4.22817236235852e-11
"810","Kif26b",1.3369852599091e-15,-1.15708235018523,0.265,0.317,4.30108158112757e-11
"813","Kmt2c",3.52198870545054e-15,-9.27013708356361,0.543,0.491,1.13302376654344e-10
"822","Tmtc2",2.24793536854628e-14,-2.9146812749045,0.408,0.457,7.23160808061337e-10
"827","Cdkal1",7.02282102179688e-14,-4.64706595920044,0.359,0.312,2.25924152271206e-09
"833","Hnrnph1",3.95840693555988e-13,-0.92325828115409,0.322,0.277,1.27341951116961e-08
"839","Rock2",2.06098267649257e-12,-1.1208437051598,0.462,0.423,6.63018127027659e-08
"840","Srrm3",2.09985745567774e-12,-4.56187833044673,0.328,0.288,6.75524143491528e-08
"852","Rora",2.88806920192635e-11,-85.7779353579209,0.826,0.826,9.29091862259708e-07
"854","Dpp6",6.36663253556377e-11,-29.9555484768658,0.76,0.772,2.04814568669087e-06
"855","Tasor",7.70837346965451e-11,-1.96438933598429,0.356,0.313,2.47978374518786e-06
"856","Kirrel3",8.69147543690932e-11,-12.2003974234522,0.711,0.794,2.79604764805373e-06
"861","Ppm1l",4.71464469597139e-10,-13.4559975214355,0.403,0.366,1.516701198694e-05
"872","Gramd1b",5.57142853270959e-09,-1.21992823932781,0.425,0.464,0.000179232855897267
"873","Fam135b",6.81507923188869e-09,-0.590137094464684,0.43,0.404,0.000219241098889859
"876","Nrg2",1.27993863575408e-08,-0.861787973213909,0.423,0.455,0.000411756259122088
"878","Picalm",1.45413202992404e-08,-1.03690479803916,0.34,0.301,0.000467794274026564
"883","Crebbp",4.28385545157472e-08,-1.13281412370801,0.418,0.382,0.00137811629877159
"887","Pkp4",9.14800142946338e-08,-3.56339362961818,0.488,0.454,0.00294291205985837
